"","Control_1h_vs_CAZSAM_1h.logFC","Control_1h_vs_CAZSAM_1h.AveExpr","Control_1h_vs_CAZSAM_1h.t","Control_1h_vs_CAZSAM_1h.P.Value","Control_1h_vs_CAZSAM_1h.adj.P.Val","Control_1h_vs_CAZSAM_1h.B","Control_3h_vs_CAZSAM_3h.logFC","Control_3h_vs_CAZSAM_3h.AveExpr","Control_3h_vs_CAZSAM_3h.t","Control_3h_vs_CAZSAM_3h.P.Value","Control_3h_vs_CAZSAM_3h.adj.P.Val","Control_3h_vs_CAZSAM_3h.B","Control_6h_vs_CAZSAM_6h.logFC","Control_6h_vs_CAZSAM_6h.AveExpr","Control_6h_vs_CAZSAM_6h.t","Control_6h_vs_CAZSAM_6h.P.Value","Control_6h_vs_CAZSAM_6h.adj.P.Val","Control_6h_vs_CAZSAM_6h.B","Geneid","Chr","Start","End","Strand","Length","X5_LCH3194_L7.sorted.bam","X6_LCH3195_L7.sorted.bam","sample4.sorted.bam","X10_LCH3199_L7.sorted.bam","X11_LCH3200_L7.sorted.bam","X12_LCH3201_L7.sorted.bam","X17_LCH3206_L7.sorted.bam","X18_LCH3207_L7.sorted.bam","sample16.sorted.bam","X1_LCH3190_L7.sorted.bam","X2_LCH3191_L7.sorted.bam","X3_LCH3192_L7.sorted.bam","X7_LCH3196_L7.sorted.bam","X8_LCH3197_L7.sorted.bam","X9_LCH3198_L7.sorted.bam","X14_LCH3203_L7.sorted.bam","sample13.sorted.bam","sample15.sorted.bam"
"1",0.063703225248902,3.09153656373535,0.214588454760945,0.832193804098641,0.948568514880767,-6.30758603264571,1.04108988699287,3.09153656373535,3.02123086297531,0.00658328311522894,0.0254740306268448,-2.73993301550113,1.77274389626106,3.09153656373535,5.38631731335474,2.56259479972315e-05,7.98226714458163e-05,2.49207032082893,"KPMAK6_00002","contig00001","575","796","-","222",37,57,36,58,69,36,64,102,66,30,62,48,23,20,25,25,22,21
"2",0.170211262742226,5.08930331723057,1.14075710004432,0.267033007689469,0.585269453575637,-6.26142414826897,0.0757253722214148,5.08930331723057,0.474000730148947,0.640474334889806,0.780523559344593,-7.17308469658985,0.0025532981348988,5.08930331723057,0.0161516520249759,0.987268493760962,0.99040560860095,-7.47298179779882,"KPMAK6_00003","contig00001","1090","4200","-","3111",199,170,174,196,160,138,196,149,114,180,215,138,138,141,134,162,138,172
"3",0.26144144314373,1.87410977363752,0.430664061960309,0.671175781453392,0.878371231177848,-5.78056691505309,0.130048426824659,1.87410977363752,0.2127711724974,0.833592493929172,0.905643004799376,-6.26090569714709,0.621154823701016,1.87410977363752,1.15306654792502,0.262060183678658,0.330857917149696,-5.91372135130143,"KPMAK6_00004","contig00001","4213","5352","-","1140",11,19,20,33,10,15,34,26,15,8,24,16,7,25,14,21,38,6
"5",0.0814613881692665,4.86790567969616,0.456656000345888,0.652686874448845,0.868792275587042,-6.66608901317483,-0.492964953024381,4.86790567969616,-3.11677647411296,0.00529168273860908,0.0210373787097148,-3.18141206874125,-0.527710089032611,4.86790567969616,-2.93543723724664,0.0079981609189682,0.014941965348267,-3.62120892589849,"KPMAK6_00006","contig00001","6657","7883","+","1227",108,139,118,146,177,132,93,117,94,126,150,106,174,212,179,167,169,123
"6",0.254903116885724,4.4088705181835,1.25295833644726,0.22422823276105,0.540140451179783,-5.92729018256456,-0.497899719095437,4.4088705181835,-2.40669143686491,0.0255556926481008,0.0749903785906817,-4.47427609265777,-1.30852705678965,4.4088705181835,-5.79113521444465,1.01590757928201e-05,3.44868815813193e-05,3.13309226268497,"KPMAK6_00007","contig00001","7976","8917","+","942",126,95,112,75,94,108,60,58,52,86,112,107,114,115,114,169,152,123
"7",-0.440676455351074,-0.86746621624597,-0.3150156747799,0.755911862164506,0.914628763465487,-5.0431170182281,-3.10941345831314,-0.86746621624597,-2.80317030587795,0.0107658635543314,0.0374355275078607,-2.64894655862591,-2.14967207298088,-0.86746621624597,-2.53817796174292,0.0192799933759467,0.0327662205347391,-3.25345302372881,"KPMAK6_00008","contig00001","9099","9383","+","285",0,0,2,1,0,1,2,13,0,1,2,0,5,6,14,7,23,12
"8",-1.16114079069342,0.986220039511794,-1.74899885045043,0.0951461532700483,0.342947887575789,-4.2923770253179,-0.482155186056433,0.986220039511794,-0.681130661257902,0.503358560855268,0.674538176307171,-5.67210048836289,-0.691250490657489,0.986220039511794,-1.58035727970673,0.129226476942121,0.179306748125223,-5.31346253607726,"KPMAK6_00009","contig00001","9394","10173","+","780",3,3,8,12,3,3,14,14,14,8,12,14,5,14,3,39,14,23
"9",0.598262634112841,0.677306374156647,0.874918298032924,0.391684358081822,0.702650555601207,-5.19315363646846,-0.323320424279177,0.677306374156647,-0.503849457127045,0.619701973777056,0.763957763786014,-5.85629662786486,-0.256326792620266,0.677306374156647,-0.42908652650755,0.67230499959236,0.731898769333102,-6.12080920476152,"KPMAK6_00010","contig00001","10157","10894","+","738",8,4,12,5,7,8,4,12,9,2,16,3,9,5,9,9,8,11
"12",0.230599890117532,0.594806489671791,0.362647617463627,0.720554611409056,0.899806684418721,-5.46204202110696,-1.5536795714939,0.594806489671791,-2.25956130200038,0.0347970049331349,0.0955271230056956,-3.66997643394968,0.0982359319104085,0.594806489671791,0.191715751975705,0.849838090642263,0.883759161495258,-6.26671435892788,"KPMAK6_00013","contig00001","11379","11747","+","369",5,6,7,2,3,4,8,12,12,4,7,6,10,17,3,14,5,13
"14",-0.0655432504921132,4.08616845551459,-0.372635958063788,0.713217869998586,0.897444039779436,-6.58319328205922,-0.596919948005828,4.08616845551459,-3.00287811437246,0.00686404600146514,0.026276273102613,-3.09104672268022,0.408583630437708,4.08616845551459,2.13302140701577,0.0450972180978201,0.0702778076454706,-5.03972059974681,"KPMAK6_00015","contig00001","12109","14244","+","2136",85,85,89,73,67,46,98,83,80,95,103,102,78,96,73,61,59,85
